TITLE	prova_10
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/04/27
TIME	17:52:33
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  850.0000
LASTX	  250.0000
NPOINTS	     601
FIRSTY	    61.78018
MAXY	    63.97551
MINY	     0.00229
XYDATA
517.0000	59.0678
516.0000	58.9669
515.0000	58.6835
514.0000	58.4173
513.0000	58.3376
512.0000	58.5164
511.0000	58.8967
510.0000	59.3262
509.0000	59.6448
508.0000	59.7325
507.0000	59.6169
506.0000	59.4438
505.0000	59.3593
504.0000	59.4675
503.0000	59.7481
502.0000	60.1155
501.0000	60.4185
500.0000	60.5573
499.0000	60.5341
498.0000	60.4491
497.0000	60.4298
496.0000	60.5411
495.0000	60.7764
494.0000	61.0626
493.0000	61.2964
492.0000	61.4058
491.0000	61.4091
490.0000	61.3868
489.0000	61.4106
488.0000	61.5198
487.0000	61.7039
486.0000	61.8994
485.0000	62.031
484.0000	62.079
483.0000	62.0798
482.0000	62.0917
481.0000	62.1414
480.0000	62.2332
479.0000	62.3447
478.0000	62.4361
477.0000	62.4819
476.0000	62.4901
475.0000	62.4815
474.0000	62.4868
473.0000	62.5077
472.0000	62.5468
471.0000	62.5805
470.0000	62.6005
469.0000	62.5876
468.0000	62.5555
467.0000	62.5223
466.0000	62.4958
465.0000	62.4801
464.0000	62.4628
463.0000	62.4235
462.0000	62.3631
461.0000	62.2953
460.0000	62.2277
459.0000	62.1626
458.0000	62.116
457.0000	62.0405
456.0000	61.9568
455.0000	61.8551
454.0000	61.7489
453.0000	61.667
452.0000	61.5843
451.0000	61.4825
450.0000	61.3519
449.0000	61.2113
448.0000	61.0801
447.0000	60.9702
446.0000	60.8441
445.0000	60.6877
444.0000	60.5138
443.0000	60.3427
442.0000	60.1987
441.0000	60.0546
440.0000	59.8844
439.0000	59.6657
438.0000	59.4423
437.0000	59.2616
436.0000	59.1144
435.0000	58.9438
434.0000	58.6956
433.0000	58.4264
432.0000	58.2241
431.0000	58.0815
430.0000	57.9203
429.0000	57.6841
428.0000	57.4249
427.0000	57.2599
426.0000	57.1962
425.0000	57.109
424.0000	56.9183
423.0000	56.6813
422.0000	56.5557
421.0000	56.5359
420.0000	56.351
419.0000	56.1397
418.0000	55.9528
417.0000	55.9318
416.0000	55.987
415.0000	55.9311
414.0000	55.7516
413.0000	55.6733
412.0000	55.7642
411.0000	55.813
410.0000	55.7022
409.0000	55.5925
408.0000	55.6562
407.0000	55.7663
406.0000	55.7357
405.0000	55.6608
404.0000	55.7377
403.0000	55.8977
402.0000	55.9581
401.0000	55.9726
400.0000	56.1056
399.0000	56.3009
398.0000	56.4087
397.0000	56.4827
396.0000	56.6204
395.0000	56.7811
394.0000	56.861
393.0000	56.9142
392.0000	57.0026
391.0000	57.0744
390.0000	57.0876
389.0000	57.0868
388.0000	57.0896
387.0000	57.0558
386.0000	56.9894
385.0000	56.8895
384.0000	56.7592
383.0000	56.5909
382.0000	56.3626
381.0000	56.0774
380.0000	55.7171
379.0000	55.2457
378.0000	54.6434
377.0000	53.8141
376.0000	52.6601
375.0000	51.0344
374.0000	48.7388
373.0000	45.6157
372.0000	41.5425
371.0000	36.5819
370.0000	28.8342
