TITLE	12.1_H_10
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/04/27
TIME	15:21:33
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	 1500.0000
LASTX	  200.0000
NPOINTS	    1301
FIRSTY	    53.57231
MAXY	    62.33471
MINY	    -0.00060
XYDATA
1115.0000	56.0975
1114.0000	56.3273
1113.0000	56.5845
1112.0000	56.9135
1111.0000	57.2084
1110.0000	57.5638
1109.0000	57.9001
1108.0000	58.2834
1107.0000	58.5963
1106.0000	58.956
1105.0000	59.3487
1104.0000	59.6671
1103.0000	59.9656
1102.0000	60.2273
1101.0000	60.4793
1100.0000	60.6695
1099.0000	60.7949
1098.0000	60.9181
1097.0000	60.9882
1096.0000	60.9786
1095.0000	60.8892
1094.0000	60.764
1093.0000	60.601
1092.0000	60.4044
1091.0000	60.1618
1090.0000	59.874
1089.0000	59.5602
1088.0000	59.2154
1087.0000	58.8488
1086.0000	58.5017
1085.0000	58.1298
1084.0000	57.7399
1083.0000	57.3957
1082.0000	57.0791
1081.0000	56.8049
1080.0000	56.5296
1079.0000	56.308
1078.0000	56.1428
1077.0000	56.002
1076.0000	55.9541
1075.0000	55.9594
1074.0000	55.9488
1073.0000	56.0213
1072.0000	56.152
1071.0000	56.3345
1070.0000	56.5705
1069.0000	56.8275
1068.0000	57.1117
1067.0000	57.4257
1066.0000	57.7554
1065.0000	58.1155
1064.0000	58.4215
1063.0000	58.7822
1062.0000	59.1208
1061.0000	59.4433
1060.0000	59.6876
1059.0000	59.9171
1058.0000	60.1156
1057.0000	60.2886
1056.0000	60.3918
1055.0000	60.4121
1054.0000	60.3959
1053.0000	60.3186
1052.0000	60.1831
1051.0000	60.0318
1050.0000	59.8001
1049.0000	59.5279
1048.0000	59.2241
1047.0000	58.9343
1046.0000	58.6017
1045.0000	58.1891
1044.0000	57.8746
1043.0000	57.5705
1042.0000	57.2054
1041.0000	56.9155
1040.0000	56.637
1039.0000	56.3892
1038.0000	56.1908
1037.0000	56.0585
1036.0000	55.9317
1035.0000	55.9021
