TITLE	12.1_NP_0
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/05/03
TIME	16:19:54
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-0.1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  850.0000
LASTX	  250.0000
NPOINTS	    6001
FIRSTY	    77.93438
MAXY	    81.61069
MINY	     0.00037
XYDATA
796.2000	70.3041
796.1000	70.1681
796.0000	70.0337
795.9000	69.9019
795.8000	69.7805
795.7000	69.6518
795.6000	69.5224
795.5000	69.3994
795.4000	69.2848
795.3000	69.171
795.2000	69.0623
795.1000	68.9497
795.0000	68.8535
794.9000	68.7497
794.8000	68.6576
794.7000	68.5649
794.6000	68.4777
794.5000	68.397
794.4000	68.3137
794.3000	68.2376
794.2000	68.1657
794.1000	68.1011
794.0000	68.0438
793.9000	67.9893
793.8000	67.9311
793.7000	67.8766
793.6000	67.8311
793.5000	67.7851
793.4000	67.7393
793.3000	67.7052
793.2000	67.6773
793.1000	67.6524
793.0000	67.6289
792.9000	67.6082
792.8000	67.5958
792.7000	67.59
792.6000	67.5827
792.5000	67.5769
792.4000	67.5751
792.3000	67.5788
792.2000	67.588
792.1000	67.6041
792.0000	67.6228
791.9000	67.6541
791.8000	67.6886
791.7000	67.7277
791.6000	67.7572
791.5000	67.7933
791.4000	67.8386
791.3000	67.8894
791.2000	67.9369
791.1000	67.9907
791.0000	68.0505
790.9000	68.1147
790.8000	68.1853
790.7000	68.264
790.6000	68.3428
790.5000	68.429
790.4000	68.5148
790.3000	68.5989
790.2000	68.6882
790.1000	68.7807
790.0000	68.8859
789.9000	68.9925
789.8000	69.1008
789.7000	69.2084
789.6000	69.3296
789.5000	69.4495
789.4000	69.5702
789.3000	69.6971
789.2000	69.8229
789.1000	69.9497
789.0000	70.088
788.9000	70.2229
788.8000	70.3594
788.7000	70.4983
788.6000	70.6457
788.5000	70.7943
788.4000	70.9398
788.3000	71.0917
788.2000	71.2486
788.1000	71.4096
788.0000	71.5669
787.9000	71.7253
787.8000	71.888
787.7000	72.048
787.6000	72.2144
787.5000	72.3793
787.4000	72.5413
787.3000	72.7104
787.2000	72.876
787.1000	73.0493
787.0000	73.2165
786.9000	73.3845
786.8000	73.5562
786.7000	73.7245
786.6000	73.8973
786.5000	74.0677
786.4000	74.2346
786.3000	74.4016
786.2000	74.5715
786.1000	74.7433
786.0000	74.9089
785.9000	75.0861
785.8000	75.2613
785.7000	75.4295
785.6000	75.6014
785.5000	75.768
785.4000	75.9306
785.3000	76.0962
785.2000	76.2617
785.1000	76.4222
785.0000	76.5803
784.9000	76.7256
784.8000	76.8822
784.7000	77.0388
784.6000	77.1867
784.5000	77.3362
784.4000	77.482
784.3000	77.6155
784.2000	77.7467
784.1000	77.8738
784.0000	78.0044
783.9000	78.1342
783.8000	78.2551
783.7000	78.3701
783.6000	78.4835
783.5000	78.5942
783.4000	78.7027
783.3000	78.8131
783.2000	78.9041
783.1000	78.9937
783.0000	79.0853
782.9000	79.1679
782.8000	79.245
782.7000	79.3141
782.6000	79.383
782.5000	79.4523
782.4000	79.511
782.3000	79.5631
782.2000	79.6139
782.1000	79.661
782.0000	79.6979
781.9000	79.7319
781.8000	79.7558
781.7000	79.7784
781.6000	79.8032
781.5000	79.816
781.4000	79.8171
781.3000	79.8207
781.2000	79.8197
781.1000	79.8147
781.0000	79.7971
780.9000	79.7721
780.8000	79.7446
780.7000	79.7144
780.6000	79.675
780.5000	79.633
780.4000	79.5884
780.3000	79.535
780.2000	79.4761
780.1000	79.4116
780.0000	79.3398
779.9000	79.2708
779.8000	79.1974
779.7000	79.1093
779.6000	79.0154
779.5000	78.9196
779.4000	78.8317
779.3000	78.7306
779.2000	78.6252
779.1000	78.5154
779.0000	78.4104
778.9000	78.2901
778.8000	78.1595
778.7000	78.0319
778.6000	77.9031
778.5000	77.7654
778.4000	77.6307
778.3000	77.4845
778.2000	77.3373
778.1000	77.198
778.0000	77.0495
777.9000	76.8976
777.8000	76.7391
777.7000	76.5827
777.6000	76.4221
777.5000	76.2542
777.4000	76.0796
777.3000	75.9113
777.2000	75.7458
777.1000	75.5806
777.0000	75.4028
776.9000	75.2353
776.8000	75.0607
776.7000	74.8883
776.6000	74.7201
776.5000	74.5405
776.4000	74.3645
776.3000	74.194
776.2000	74.014
776.1000	73.8369
776.0000	73.6577
775.9000	73.4837
775.8000	73.3115
775.7000	73.1402
775.6000	72.971
775.5000	72.7897
775.4000	72.6216
775.3000	72.4509
775.2000	72.2801
775.1000	72.1123
775.0000	71.9375
774.9000	71.7707
774.8000	71.6045
774.7000	71.438
774.6000	71.2778
774.5000	71.1196
774.4000	70.9643
774.3000	70.8084
774.2000	70.6584
774.1000	70.5062
774.0000	70.3593
773.9000	70.2195
773.8000	70.0784
773.7000	69.9423
773.6000	69.8099
773.5000	69.6812
773.4000	69.5506
773.3000	69.4287
773.2000	69.3088
773.1000	69.1903
773.0000	69.077
772.9000	68.9677
772.8000	68.8618
772.7000	68.7605
772.6000	68.6571
772.5000	68.5652
772.4000	68.4725
772.3000	68.386
772.2000	68.2997
772.1000	68.2198
772.0000	68.1477
771.9000	68.0731
771.8000	68.0131
771.7000	67.9488
771.6000	67.8964
771.5000	67.8456
771.4000	67.7966
771.3000	67.7517
771.2000	67.7122
771.1000	67.6806
771.0000	67.6567
770.9000	67.6279
770.8000	67.6071
770.7000	67.589
770.6000	67.5808
770.5000	67.5742
770.4000	67.5719
770.3000	67.5703
770.2000	67.573
770.1000	67.5786
770.0000	67.5927
769.9000	67.6121
769.8000	67.6383
769.7000	67.6704
769.6000	67.7071
769.5000	67.7444
769.4000	67.7817
769.3000	67.833
769.2000	67.8827
769.1000	67.9436
769.0000	68.0081
768.9000	68.0724
768.8000	68.1454
768.7000	68.2266
768.6000	68.308
768.5000	68.4034
768.4000	68.4918
768.3000	68.5911
768.2000	68.6896
768.1000	68.7883
768.0000	68.8899
767.9000	68.9986
767.8000	69.1193
767.7000	69.2381
767.6000	69.3613
767.5000	69.4856
767.4000	69.6139
767.3000	69.749
767.2000	69.8789
767.1000	70.0136
767.0000	70.1576
766.9000	70.2992
766.8000	70.4453
766.7000	70.5852
766.6000	70.743
766.5000	70.8988
766.4000	71.0588
766.3000	71.2191
766.2000	71.3789
766.1000	71.5439
766.0000	71.7108
765.9000	71.8793
765.8000	72.0471
765.7000	72.2227
765.6000	72.3969
765.5000	72.5738
765.4000	72.7536
