TITLE	p-GaN-NP
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/05/03
TIME	16:56:37
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-0.1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  850.0000
LASTX	  250.0000
NPOINTS	    6001
FIRSTY	    76.30771
MAXY	    79.46679
MINY	     0.00225
XYDATA
790.4000	69.6468
790.3000	69.6528
790.2000	69.6649
790.1000	69.6794
790.0000	69.6963
789.9000	69.7103
789.8000	69.7295
789.7000	69.7522
789.6000	69.7746
789.5000	69.7972
789.4000	69.8304
789.3000	69.8543
789.2000	69.8916
789.1000	69.9319
789.0000	69.9777
788.9000	70.0278
788.8000	70.0727
788.7000	70.1199
788.6000	70.1742
788.5000	70.2257
788.4000	70.2776
788.3000	70.3416
788.2000	70.4001
788.1000	70.4734
788.0000	70.5387
787.9000	70.618
787.8000	70.6966
787.7000	70.7785
787.6000	70.8574
787.5000	70.9435
787.4000	71.0303
787.3000	71.1224
787.2000	71.2121
787.1000	71.3099
787.0000	71.4061
786.9000	71.4997
786.8000	71.5985
786.7000	71.7001
786.6000	71.8111
786.5000	71.9096
786.4000	72.0212
786.3000	72.1279
786.2000	72.2364
786.1000	72.3481
786.0000	72.4686
785.9000	72.582
785.8000	72.699
785.7000	72.8137
785.6000	72.9332
785.5000	73.0495
785.4000	73.1684
785.3000	73.2955
785.2000	73.4246
785.1000	73.5434
785.0000	73.6716
784.9000	73.8018
784.8000	73.9268
784.7000	74.0489
784.6000	74.1778
784.5000	74.2988
784.4000	74.4238
784.3000	74.5457
784.2000	74.6711
784.1000	74.7918
784.0000	74.9176
783.9000	75.0463
783.8000	75.1751
783.7000	75.2938
783.6000	75.4183
783.5000	75.5493
783.4000	75.669
783.3000	75.7924
783.2000	75.9192
783.1000	76.0464
783.0000	76.1652
782.9000	76.2889
782.8000	76.4028
782.7000	76.5269
782.6000	76.6439
782.5000	76.7639
782.4000	76.8783
782.3000	76.989
782.2000	77.0922
782.1000	77.2118
782.0000	77.319
781.9000	77.4226
781.8000	77.5298
781.7000	77.6312
