TITLE	p-GaN_NP_0
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/05/03
TIME	16:27:08
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-0.1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  850.0000
LASTX	  250.0000
NPOINTS	    6001
FIRSTY	    75.27925
MAXY	    79.98762
MINY	     0.00049
XYDATA
793.2000	70.8335
793.1000	70.7673
793.0000	70.6968
792.9000	70.6307
792.8000	70.5729
792.7000	70.5212
792.6000	70.4658
792.5000	70.4071
792.4000	70.3548
792.3000	70.305
792.2000	70.262
792.1000	70.2186
792.0000	70.1806
791.9000	70.1489
791.8000	70.1167
791.7000	70.0965
791.6000	70.0722
791.5000	70.0447
791.4000	70.0288
791.3000	70.0166
791.2000	69.9997
791.1000	69.9893
791.0000	69.9835
790.9000	69.9853
790.8000	69.9865
790.7000	69.9948
790.6000	69.9994
790.5000	70.0123
790.4000	70.0284
790.3000	70.0401
790.2000	70.0581
790.1000	70.0779
790.0000	70.1051
789.9000	70.1367
789.8000	70.163
789.7000	70.1969
789.6000	70.2386
789.5000	70.2806
789.4000	70.3233
789.3000	70.3729
789.2000	70.4244
789.1000	70.4826
789.0000	70.5406
788.9000	70.5956
788.8000	70.652
788.7000	70.7192
788.6000	70.791
788.5000	70.8603
788.4000	70.9312
788.3000	71.0101
788.2000	71.0948
788.1000	71.1747
788.0000	71.2639
787.9000	71.3514
787.8000	71.4445
787.7000	71.5317
787.6000	71.6189
787.5000	71.7098
787.4000	71.8073
787.3000	71.9097
787.2000	72.0129
787.1000	72.1174
787.0000	72.2212
786.9000	72.3276
786.8000	72.4347
786.7000	72.5441
786.6000	72.658
786.5000	72.7787
786.4000	72.8838
786.3000	72.9983
786.2000	73.1157
786.1000	73.2371
786.0000	73.3607
785.9000	73.4839
785.8000	73.6097
785.7000	73.7386
785.6000	73.8654
785.5000	73.9944
785.4000	74.113
785.3000	74.2431
785.2000	74.3733
785.1000	74.5
785.0000	74.6288
784.9000	74.7504
784.8000	74.8866
784.7000	75.0174
784.6000	75.1451
784.5000	75.2745
784.4000	75.409
784.3000	75.535
784.2000	75.662
784.1000	75.783
784.0000	75.911
783.9000	76.038
783.8000	76.1677
783.7000	76.2916
783.6000	76.4157
783.5000	76.5417
783.4000	76.6618
783.3000	76.7852
783.2000	76.9035
783.1000	77.0189
783.0000	77.1368
782.9000	77.2509
782.8000	77.3609
782.7000	77.4724
782.6000	77.5818
782.5000	77.6949
782.4000	77.8039
782.3000	77.9077
782.2000	78.017
782.1000	78.1174
782.0000	78.2178
781.9000	78.3129
781.8000	78.4039
781.7000	78.4938
781.6000	78.582
781.5000	78.668
781.4000	78.7486
781.3000	78.8347
781.2000	78.9155
781.1000	78.9905
781.0000	79.0569
780.9000	79.1176
780.8000	79.181
780.7000	79.2437
780.6000	79.2932
780.5000	79.3535
780.4000	79.4026
780.3000	79.4519
780.2000	79.4999
780.1000	79.5396
780.0000	79.5724
779.9000	79.6106
779.8000	79.6415
779.7000	79.6613
779.6000	79.6798
779.5000	79.7008
779.4000	79.7277
779.3000	79.7438
779.2000	79.7488
779.1000	79.7603
779.0000	79.7701
778.9000	79.7639
