TITLE	p-GaN_(altra faccia)
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/05/05
TIME	12:08:42
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  850.0000
LASTX	  250.0000
NPOINTS	     601
FIRSTY	    77.75819
MAXY	    83.26441
MINY	    -0.13189
XYDATA
305.0000	0.10716
304.0000	0.103431
303.0000	0.0182167
302.0000	-0.0339707
301.0000	-0.032095
300.0000	-0.016432
299.0000	0.011978
298.0000	0.18092
297.0000	0.240358
296.0000	0.264941
295.0000	0.300986
294.0000	0.340422
293.0000	0.300862
292.0000	0.196252
291.0000	0.169526
290.0000	0.106193
289.0000	0.06504
288.0000	-0.0142255
287.0000	-0.0244385
286.0000	0.0169187
285.0000	0.0735936
284.0000	0.0143826
283.0000	0.0292551
282.0000	0.0813419
281.0000	0.114872
280.0000	0.0621283
279.0000	0.0294471
278.0000	0.0350137
277.0000	0.00639121
276.0000	0.0077139
275.0000	-0.0423367
274.0000	-0.0132728
273.0000	-0.0362285
272.0000	0.000434974
271.0000	-0.0504178
270.0000	-0.0776645
269.0000	-0.0566201
268.0000	-0.0804248
267.0000	-0.0266476
266.0000	-0.0919048
265.0000	-0.0172469
264.0000	-0.00251574
263.0000	0.06026
262.0000	0.142964
261.0000	0.0631835
260.0000	0.137425
259.0000	0.0907914
258.0000	0.105476
257.0000	0.043402
256.0000	0.000308994
255.0000	-0.00078266
254.0000	-0.0967452
253.0000	-0.0812194
252.0000	-0.0489289
251.0000	-0.108037
250.0000	-0.0627219
