TITLE	p-GaN
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/05/05
TIME	12:05:40
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  850.0000
LASTX	  250.0000
NPOINTS	     601
FIRSTY	    71.84466
MAXY	    80.26244
MINY	    -0.14054
XYDATA
647.0000	78.6224
646.0000	78.0011
645.0000	76.7111
644.0000	75.3022
643.0000	73.7196
642.0000	72.2941
641.0000	71.5211
640.0000	71.2526
639.0000	71.5999
638.0000	72.5429
637.0000	73.7994
636.0000	75.2636
635.0000	76.8599
634.0000	78.0877
633.0000	78.8197
632.0000	78.7676
631.0000	78.0165
630.0000	76.9143
629.0000	75.294
628.0000	73.6962
627.0000	72.3628
626.0000	71.6167
625.0000	71.4659
624.0000	71.9059
623.0000	73.0024
622.0000	74.5047
621.0000	76.0633
620.0000	77.4184
619.0000	78.3638
618.0000	78.5589
617.0000	78.0512
616.0000	76.8636
615.0000	75.3226
614.0000	73.749
613.0000	72.464
612.0000	71.7427
611.0000	71.5125
610.0000	72.0988
609.0000	73.2797
608.0000	74.6943
607.0000	76.2492
606.0000	77.5136
605.0000	78.128
604.0000	77.8623
603.0000	77.1308
602.0000	75.8485
601.0000	74.3815
600.0000	73.4461
599.0000	72.4736
598.0000	72.0481
597.0000	72.3621
596.0000	73.3828
595.0000	74.4672
594.0000	76.1385
593.0000	77.2322
592.0000	77.922
591.0000	77.8706
590.0000	77.0935
589.0000	75.725
588.0000	74.1171
587.0000	72.8229
586.0000	72.0931
585.0000	71.9823
584.0000	72.6597
583.0000	73.8472
582.0000	75.5998
581.0000	76.8262
580.0000	77.7957
579.0000	77.849
578.0000	77.1811
577.0000	75.8524
576.0000	74.3366
575.0000	73.0081
574.0000	72.1998
573.0000	72.1965
572.0000	72.5917
571.0000	73.8762
570.0000	75.3881
569.0000	76.4417
568.0000	77.0959
567.0000	77.0745
566.0000	76.5546
565.0000	75.554
564.0000	74.2555
563.0000	73.2292
562.0000	72.8122
561.0000	73.0416
560.0000	73.9375
559.0000	74.9826
558.0000	76.1511
557.0000	76.8903
556.0000	77.1265
555.0000	76.6233
554.0000	75.408
553.0000	74.104
552.0000	72.9573
551.0000	72.6142
550.0000	73.0707
549.0000	73.9072
548.0000	75.1061
547.0000	76.2422
546.0000	76.7505
545.0000	76.7495
544.0000	75.8879
543.0000	74.4478
542.0000	73.1964
541.0000	72.4262
540.0000	72.5076
539.0000	73.2661
538.0000	74.1832
537.0000	75.5435
536.0000	76.4314
535.0000	76.4092
534.0000	75.9645
533.0000	74.7001
532.0000	73.7276
531.0000	72.921
530.0000	72.7958
529.0000	73.5552
528.0000	74.6501
527.0000	75.643
526.0000	76.0831
525.0000	76.0208
524.0000	75.1701
523.0000	74.1081
522.0000	72.8651
521.0000	72.4541
520.0000	72.9164
519.0000	73.8426
518.0000	74.8374
517.0000	75.732
516.0000	76.0314
515.0000	75.6816
514.0000	74.7495
513.0000	73.6995
512.0000	73.2023
511.0000	73.192
510.0000	73.8143
509.0000	74.6314
508.0000	75.3251
507.0000	75.4621
506.0000	74.9918
505.0000	74.0617
504.0000	73.1961
503.0000	72.843
502.0000	73.2058
501.0000	74.0021
500.0000	74.9298
499.0000	75.4974
498.0000	75.2754
497.0000	74.6183
496.0000	73.7817
495.0000	73.1917
494.0000	72.9911
493.0000	73.481
492.0000	74.212
491.0000	74.5874
490.0000	74.7831
489.0000	74.2027
488.0000	73.5254
487.0000	73.1748
486.0000	73.1121
485.0000	73.7031
484.0000	74.2675
483.0000	74.6688
482.0000	74.5659
481.0000	74.0937
480.0000	73.4595
479.0000	73.1861
478.0000	73.2801
477.0000	73.7887
476.0000	74.2207
475.0000	74.3153
474.0000	74.2268
473.0000	73.751
472.0000	73.4608
471.0000	73.2509
470.0000	73.5938
469.0000	73.9781
468.0000	74.0224
467.0000	74.0311
466.0000	73.7014
465.0000	73.424
464.0000	73.3306
463.0000	73.4865
462.0000	73.706
461.0000	73.7274
460.0000	73.6079
459.0000	73.307
458.0000	73.2931
457.0000	73.4132
456.0000	73.4757
455.0000	73.4398
454.0000	73.4478
453.0000	73.4948
452.0000	73.5203
451.0000	73.3482
450.0000	73.175
449.0000	73.0644
448.0000	73.1249
447.0000	73.2158
446.0000	73.2055
445.0000	73.161
444.0000	73.0614
443.0000	72.9598
442.0000	72.7627
441.0000	72.8774
440.0000	73.1265
439.0000	73.3489
438.0000	73.1419
437.0000	72.8053
436.0000	72.673
435.0000	72.863
434.0000	73.1598
433.0000	73.0913
432.0000	72.7188
431.0000	72.2622
430.0000	72.256
429.0000	72.5629
428.0000	72.8511
427.0000	72.7379
426.0000	72.2759
425.0000	72.0341
424.0000	72.3594
423.0000	72.9011
422.0000	72.83
421.0000	72.2
420.0000	71.52
419.0000	71.8895
418.0000	72.438
417.0000	72.2806
416.0000	71.2852
415.0000	70.715
414.0000	71.1481
413.0000	71.5986
412.0000	71.4973
411.0000	70.8063
410.0000	70.8442
409.0000	71.5233
408.0000	71.9267
407.0000	71.1447
406.0000	70.406
405.0000	70.663
404.0000	70.9583
403.0000	70.7065
402.0000	69.9162
401.0000	70.1732
400.0000	70.937
399.0000	70.6835
398.0000	70.0494
397.0000	70.0738
396.0000	70.1907
395.0000	69.8802
394.0000	69.0902
393.0000	69.0697
392.0000	69.1283
391.0000	68.8445
390.0000	68.6569
389.0000	69.0433
388.0000	68.8282
387.0000	68.5189
386.0000	68.477
385.0000	68.2894
384.0000	67.9374
383.0000	67.4491
382.0000	66.8764
381.0000	66.3939
380.0000	65.6092
379.0000	64.6674
378.0000	64.2075
377.0000	62.8355
376.0000	61.797
375.0000	60.4158
374.0000	58.4326
373.0000	55.8116
372.0000	52.2362
371.0000	47.2162
370.0000	40.8944
369.0000	33.2449
368.0000	25.5535
367.0000	18.3414
366.0000	11.96
365.0000	7.00748
364.0000	3.36572
363.0000	1.188
362.0000	0.286677
361.0000	0.136678
360.0000	0.0739588
359.0000	0.0390771
358.0000	0.03373
357.0000	0.0368143
356.0000	0.0752431
355.0000	0.017187
354.0000	0.0203664
353.0000	0.0558526
352.0000	0.0318438
351.0000	0.0176234
350.0000	-0.00200492
349.0000	0.0588036
348.0000	0.0959521
347.0000	0.0738177
