TITLE	p-GaN
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/05/05
TIME	17:52:36
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-0.1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  850.0000
LASTX	  300.0000
NPOINTS	    5501
FIRSTY	    77.49433
MAXY	    77.74112
MINY	     0.11690
XYDATA
808.0000	74.4225
807.9000	74.4831
807.8000	74.4512
807.7000	74.3527
807.6000	74.6289
807.5000	74.7349
807.4000	74.6788
807.3000	74.5725
807.2000	74.6763
807.1000	74.7829
807.0000	74.8561
806.9000	74.7029
806.8000	74.7532
806.7000	74.9565
806.6000	74.993
806.5000	74.9018
806.4000	74.9022
806.3000	75.1006
806.2000	75.1704
806.1000	75.0258
806.0000	74.7649
805.9000	75.0309
805.8000	75.2757
805.7000	75.2423
805.6000	75.1874
805.5000	75.3584
805.4000	75.4635
805.3000	75.5154
805.2000	75.3972
805.1000	75.3496
805.0000	75.566
804.9000	75.6072
804.8000	75.5333
804.7000	75.5663
804.6000	75.7919
804.5000	75.956
804.4000	75.882
804.3000	75.7571
804.2000	75.7747
804.1000	75.8127
804.0000	75.7639
803.9000	75.7251
803.8000	75.9159
803.7000	76.0488
803.6000	76.1599
803.5000	76.1657
803.4000	76.168
803.3000	76.2613
803.2000	76.1335
803.1000	75.9808
803.0000	76.0217
802.9000	75.9969
802.8000	75.9973
802.7000	75.8546
802.6000	75.9573
802.5000	76.1455
802.4000	76.1515
802.3000	76.0671
802.2000	75.972
802.1000	76.0966
802.0000	76.0561
801.9000	76.03
801.8000	76.0368
801.7000	76.1316
801.6000	76.1631
801.5000	76.108
801.4000	76.0144
801.3000	76.1574
801.2000	76.1908
801.1000	76.3161
801.0000	76.4024
800.9000	76.3818
800.8000	76.5082
800.7000	76.4537
800.6000	76.5119
800.5000	76.4415
800.4000	76.4504
800.3000	76.5065
800.2000	76.496
800.1000	76.6256
800.0000	76.791
799.9000	76.9081
799.8000	77.0547
799.7000	77.0382
799.6000	77.0725
799.5000	77.0694
799.4000	76.9903
799.3000	77.1284
799.2000	77.1137
799.1000	77.1898
799.0000	77.0973
798.9000	77.2122
798.8000	77.3602
798.7000	77.4382
798.6000	77.441
798.5000	77.352
798.4000	77.3482
798.3000	77.3321
798.2000	77.3957
798.1000	77.4863
798.0000	77.4856
797.9000	77.4427
797.8000	77.4334
797.7000	77.3979
797.6000	77.3568
797.5000	77.3302
797.4000	77.3244
797.3000	77.2756
797.2000	77.1605
797.1000	77.0227
797.0000	77.0054
796.9000	77.0093
796.8000	76.8829
796.7000	76.9064
796.6000	76.7861
796.5000	76.8485
796.4000	76.9834
796.3000	77.077
796.2000	77.1026
796.1000	77.0284
796.0000	77.0243
795.9000	77.0622
795.8000	77.173
795.7000	77.1227
795.6000	77.2174
795.5000	77.3557
795.4000	77.3653
795.3000	77.36
795.2000	77.4756
795.1000	77.5337
795.0000	77.507
794.9000	77.3599
794.8000	77.1895
794.7000	77.1379
794.6000	76.9786
794.5000	77.0142
794.4000	76.9509
794.3000	76.922
794.2000	76.8307
794.1000	76.8978
794.0000	76.8497
793.9000	76.6642
793.8000	76.7467
793.7000	76.8211
793.6000	76.7716
793.5000	76.6308
793.4000	76.5772
793.3000	76.5804
793.2000	76.6275
793.1000	76.4622
793.0000	76.4917
792.9000	76.4089
792.8000	76.371
792.7000	76.2429
792.6000	76.1768
792.5000	76.0886
792.4000	75.9527
792.3000	75.9339
792.2000	75.7941
792.1000	75.7067
792.0000	75.6126
791.9000	75.5279
791.8000	75.5439
791.7000	75.5733
791.6000	75.571
791.5000	75.5464
791.4000	75.5694
791.3000	75.6816
791.2000	75.6441
791.1000	75.5248
791.0000	75.5414
790.9000	75.4898
790.8000	75.5384
790.7000	75.5016
790.6000	75.3744
790.5000	75.3862
790.4000	75.3838
790.3000	75.4293
790.2000	75.3709
