TITLE	campione misterioso sotto il 6.3
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	19/11/21
TIME	17:11:25
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	 2500.0000
LASTX	  300.0000
NPOINTS	    2201
FIRSTY	    76.18993
MAXY	    85.58321
MINY	     0.00549
XYDATA
1872.0000	83.7686
1871.0000	84.1015
1870.0000	84.4273
1869.0000	84.6501
1868.0000	84.8313
1867.0000	84.9316
1866.0000	84.9967
1865.0000	85.0594
1864.0000	85.0548
1863.0000	85.0979
1862.0000	85.1564
1861.0000	85.2344
1860.0000	85.3444
1859.0000	85.3367
1858.0000	85.4139
1857.0000	85.4437
1856.0000	85.3861
1855.0000	85.3212
1854.0000	85.1698
1853.0000	84.9941
1852.0000	84.7614
1851.0000	84.5525
1850.0000	84.3691
1849.0000	84.2382
1848.0000	84.0421
1847.0000	83.7718
1846.0000	83.5897
1845.0000	83.3337
1844.0000	83.057
1843.0000	82.7505
1842.0000	82.3835
1841.0000	82.0905
1840.0000	81.8261
1839.0000	81.6142
1838.0000	81.3735
1837.0000	81.1033
1836.0000	80.8498
1835.0000	80.6054
1834.0000	80.3691
1833.0000	80.0347
1832.0000	79.6683
1831.0000	79.3143
1830.0000	78.9632
1829.0000	78.6579
1828.0000	78.3191
1827.0000	77.9782
1826.0000	77.6846
1825.0000	77.3534
1824.0000	77.0075
1823.0000	76.6357
1822.0000	76.2619
1821.0000	75.9538
1820.0000	75.6466
1819.0000	75.4085
1818.0000	75.1311
1817.0000	74.8931
1816.0000	74.664
1815.0000	74.4581
1814.0000	74.1809
1813.0000	73.9626
1812.0000	73.7257
1811.0000	73.5015
1810.0000	73.303
1809.0000	73.1387
1808.0000	72.9667
1807.0000	72.8091
1806.0000	72.65
1805.0000	72.5218
1804.0000	72.4529
1803.0000	72.3469
1802.0000	72.1908
1801.0000	72.1679
1800.0000	72.0717
1799.0000	72.0505
1798.0000	72.0172
1797.0000	71.9905
1796.0000	72.0196
1795.0000	72.0133
1794.0000	72.0495
1793.0000	72.1362
1792.0000	72.2245
1791.0000	72.3122
1790.0000	72.4046
1789.0000	72.5362
1788.0000	72.6752
1787.0000	72.7996
1786.0000	72.9988
1785.0000	73.1677
1784.0000	73.3991
1783.0000	73.6106
1782.0000	73.815
1781.0000	74.0437
1780.0000	74.2337
1779.0000	74.4786
1778.0000	74.7612
1777.0000	75.0184
1776.0000	75.3505
1775.0000	75.6348
1774.0000	75.9801
1773.0000	76.2591
1772.0000	76.571
1771.0000	76.883
1770.0000	77.2233
1769.0000	77.5589
1768.0000	77.8961
1767.0000	78.2255
1766.0000	78.6268
1765.0000	78.944
1764.0000	79.2824
1763.0000	79.6123
1762.0000	79.97
1761.0000	80.3562
1760.0000	80.6993
