TITLE	n-GaN
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	19/11/20
TIME	15:21:01
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	 2500.0000
LASTX	  300.0000
NPOINTS	    2201
FIRSTY	   100.74783
MAXY	   101.09960
MINY	    99.97169
XYDATA
2117.0000	100.408
2116.0000	100.404
2115.0000	100.425
2114.0000	100.438
2113.0000	100.367
2112.0000	100.381
2111.0000	100.379
2110.0000	100.453
2109.0000	100.428
2108.0000	100.468
2107.0000	100.425
2106.0000	100.47
2105.0000	100.441
2104.0000	100.434
2103.0000	100.517
2102.0000	100.471
2101.0000	100.483
2100.0000	100.495
2099.0000	100.558
2098.0000	100.528
2097.0000	100.552
2096.0000	100.584
2095.0000	100.531
2094.0000	100.594
2093.0000	100.586
2092.0000	100.597
2091.0000	100.496
2090.0000	100.44
2089.0000	100.402
2088.0000	100.411
2087.0000	100.427
2086.0000	100.433
2085.0000	100.389
2084.0000	100.425
2083.0000	100.471
2082.0000	100.512
2081.0000	100.45
2080.0000	100.47
2079.0000	100.499
2078.0000	100.454
2077.0000	100.432
2076.0000	100.435
2075.0000	100.418
2074.0000	100.434
2073.0000	100.489
2072.0000	100.537
2071.0000	100.531
2070.0000	100.46
2069.0000	100.468
2068.0000	100.517
2067.0000	100.455
2066.0000	100.477
2065.0000	100.456
2064.0000	100.529
2063.0000	100.515
2062.0000	100.514
2061.0000	100.486
2060.0000	100.483
2059.0000	100.483
2058.0000	100.442
2057.0000	100.437
2056.0000	100.487
2055.0000	100.465
2054.0000	100.466
2053.0000	100.484
2052.0000	100.524
2051.0000	100.507
2050.0000	100.496
2049.0000	100.409
2048.0000	100.502
2047.0000	100.518
2046.0000	100.431
2045.0000	100.484
2044.0000	100.548
2043.0000	100.531
2042.0000	100.538
2041.0000	100.532
2040.0000	100.526
2039.0000	100.542
2038.0000	100.548
2037.0000	100.519
2036.0000	100.488
2035.0000	100.458
2034.0000	100.448
2033.0000	100.447
2032.0000	100.436
2031.0000	100.443
2030.0000	100.48
2029.0000	100.558
2028.0000	100.495
2027.0000	100.452
2026.0000	100.516
2025.0000	100.494
2024.0000	100.497
2023.0000	100.399
2022.0000	100.431
2021.0000	100.449
2020.0000	100.425
2019.0000	100.436
2018.0000	100.41
2017.0000	100.495
2016.0000	100.458
2015.0000	100.551
2014.0000	100.542
2013.0000	100.534
2012.0000	100.555
2011.0000	100.462
2010.0000	100.492
2009.0000	100.482
2008.0000	100.461
2007.0000	100.444
2006.0000	100.427
2005.0000	100.431
2004.0000	100.434
2003.0000	100.418
2002.0000	100.397
2001.0000	100.401
2000.0000	100.468
1999.0000	100.484
1998.0000	100.467
1997.0000	100.417
1996.0000	100.436
1995.0000	100.518
1994.0000	100.507
1993.0000	100.536
1992.0000	100.518
1991.0000	100.553
1990.0000	100.562
1989.0000	100.516
1988.0000	100.443
1987.0000	100.5
1986.0000	100.405
1985.0000	100.425
1984.0000	100.455
1983.0000	100.444
1982.0000	100.431
1981.0000	100.447
1980.0000	100.484
1979.0000	100.494
1978.0000	100.472
1977.0000	100.437
1976.0000	100.425
1975.0000	100.435
1974.0000	100.371
1973.0000	100.379
1972.0000	100.344
1971.0000	100.342
1970.0000	100.297
1969.0000	100.337
1968.0000	100.35
1967.0000	100.314
1966.0000	100.338
1965.0000	100.413
1964.0000	100.447
1963.0000	100.476
1962.0000	100.458
1961.0000	100.517
1960.0000	100.512
1959.0000	100.477
1958.0000	100.493
1957.0000	100.452
1956.0000	100.488
1955.0000	100.479
1954.0000	100.477
1953.0000	100.449
1952.0000	100.428
1951.0000	100.47
1950.0000	100.417
1949.0000	100.382
1948.0000	100.343
1947.0000	100.413
1946.0000	100.452
1945.0000	100.455
1944.0000	100.405
1943.0000	100.406
1942.0000	100.484
1941.0000	100.466
1940.0000	100.481
1939.0000	100.48
1938.0000	100.45
1937.0000	100.438
1936.0000	100.407
1935.0000	100.401
1934.0000	100.416
1933.0000	100.379
1932.0000	100.408
1931.0000	100.444
1930.0000	100.443
1929.0000	100.446
1928.0000	100.384
1927.0000	100.359
1926.0000	100.45
1925.0000	100.418
1924.0000	100.493
1923.0000	100.453
1922.0000	100.471
1921.0000	100.5
1920.0000	100.473
1919.0000	100.458
1918.0000	100.349
1917.0000	100.433
1916.0000	100.39
1915.0000	100.392
1914.0000	100.433
1913.0000	100.384
1912.0000	100.411
1911.0000	100.418
1910.0000	100.416
1909.0000	100.45
1908.0000	100.488
1907.0000	100.474
1906.0000	100.503
1905.0000	100.489
1904.0000	100.599
1903.0000	100.55
1902.0000	100.526
1901.0000	100.526
1900.0000	100.614
1899.0000	100.557
1898.0000	100.512
1897.0000	100.495
1896.0000	100.465
1895.0000	100.442
1894.0000	100.363
1893.0000	100.396
1892.0000	100.443
1891.0000	100.444
1890.0000	100.455
1889.0000	100.398
1888.0000	100.419
1887.0000	100.455
1886.0000	100.476
1885.0000	100.479
1884.0000	100.479
1883.0000	100.437
1882.0000	100.412
1881.0000	100.356
1880.0000	100.338
1879.0000	100.385
1878.0000	100.377
1877.0000	100.386
1876.0000	100.435
1875.0000	100.486
1874.0000	100.548
1873.0000	100.481
1872.0000	100.466
1871.0000	100.476
1870.0000	100.453
1869.0000	100.461
1868.0000	100.445
1867.0000	100.398
1866.0000	100.393
1865.0000	100.369
1864.0000	100.355
1863.0000	100.389
1862.0000	100.397
1861.0000	100.462
1860.0000	100.488
1859.0000	100.443
1858.0000	100.436
1857.0000	100.408
1856.0000	100.419
1855.0000	100.384
1854.0000	100.358
1853.0000	100.398
1852.0000	100.456
1851.0000	100.448
1850.0000	100.406
1849.0000	100.401
1848.0000	100.392
1847.0000	100.422
1846.0000	100.394
1845.0000	100.387
1844.0000	100.413
1843.0000	100.414
1842.0000	100.462
1841.0000	100.449
1840.0000	100.398
1839.0000	100.374
1838.0000	100.493
1837.0000	100.416
1836.0000	100.401
1835.0000	100.381
1834.0000	100.448
1833.0000	100.504
1832.0000	100.525
1831.0000	100.553
1830.0000	100.539
1829.0000	100.589
1828.0000	100.584
1827.0000	100.534
1826.0000	100.503
1825.0000	100.468
1824.0000	100.448
1823.0000	100.466
1822.0000	100.445
1821.0000	100.483
1820.0000	100.488
1819.0000	100.454
1818.0000	100.445
1817.0000	100.484
1816.0000	100.442
1815.0000	100.418
1814.0000	100.399
1813.0000	100.427
1812.0000	100.46
1811.0000	100.426
1810.0000	100.431
1809.0000	100.441
1808.0000	100.398
1807.0000	100.487
1806.0000	100.436
1805.0000	100.467
1804.0000	100.477
1803.0000	100.44
1802.0000	100.453
1801.0000	100.418
1800.0000	100.459
1799.0000	100.445
1798.0000	100.435
1797.0000	100.412
1796.0000	100.409
1795.0000	100.436
1794.0000	100.436
1793.0000	100.447
1792.0000	100.389
1791.0000	100.449
1790.0000	100.443
1789.0000	100.431
1788.0000	100.395
1787.0000	100.439
1786.0000	100.424
1785.0000	100.446
1784.0000	100.416
1783.0000	100.381
1782.0000	100.394
1781.0000	100.418
1780.0000	100.401
1779.0000	100.428
1778.0000	100.47
1777.0000	100.498
1776.0000	100.513
1775.0000	100.489
1774.0000	100.48
1773.0000	100.492
1772.0000	100.443
1771.0000	100.423
1770.0000	100.403
1769.0000	100.44
1768.0000	100.473
1767.0000	100.461
1766.0000	100.447
1765.0000	100.455
1764.0000	100.5
1763.0000	100.472
1762.0000	100.466
1761.0000	100.451
1760.0000	100.477
1759.0000	100.491
1758.0000	100.478
1757.0000	100.485
1756.0000	100.478
1755.0000	100.471
1754.0000	100.474
1753.0000	100.48
1752.0000	100.497
1751.0000	100.492
1750.0000	100.492
1749.0000	100.501
1748.0000	100.505
1747.0000	100.476
1746.0000	100.475
1745.0000	100.454
1744.0000	100.457
1743.0000	100.458
1742.0000	100.438
1741.0000	100.467
1740.0000	100.473
1739.0000	100.468
1738.0000	100.461
1737.0000	100.461
1736.0000	100.448
1735.0000	100.441
1734.0000	100.463
1733.0000	100.45
1732.0000	100.426
1731.0000	100.435
1730.0000	100.451
1729.0000	100.464
1728.0000	100.451
1727.0000	100.452
1726.0000	100.461
1725.0000	100.459
1724.0000	100.456
1723.0000	100.437
1722.0000	100.455
1721.0000	100.433
1720.0000	100.412
1719.0000	100.435
1718.0000	100.441
1717.0000	100.42
1716.0000	100.46
1715.0000	100.466
1714.0000	100.476
1713.0000	100.442
1712.0000	100.438
1711.0000	100.445
1710.0000	100.47
1709.0000	100.42
1708.0000	100.417
1707.0000	100.466
1706.0000	100.438
1705.0000	100.476
1704.0000	100.478
1703.0000	100.464
1702.0000	100.494
1701.0000	100.453
1700.0000	100.433
1699.0000	100.417
1698.0000	100.385
1697.0000	100.371
1696.0000	100.336
1695.0000	100.335
1694.0000	100.395
1693.0000	100.445
1692.0000	100.457
1691.0000	100.439
1690.0000	100.486
1689.0000	100.48
1688.0000	100.476
1687.0000	100.458
1686.0000	100.462
1685.0000	100.425
1684.0000	100.392
1683.0000	100.421
1682.0000	100.431
1681.0000	100.425
1680.0000	100.416
1679.0000	100.403
1678.0000	100.411
1677.0000	100.39
1676.0000	100.364
1675.0000	100.38
1674.0000	100.36
1673.0000	100.367
1672.0000	100.383
1671.0000	100.395
