TITLE	n-GaN
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	19/11/20
TIME	15:13:29
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	 2500.0000
LASTX	  300.0000
NPOINTS	    2201
FIRSTY	   100.46647
MAXY	   100.92569
MINY	    99.65479
XYDATA
2184.0000	100.351
2183.0000	100.277
2182.0000	100.298
2181.0000	100.283
2180.0000	100.3
2179.0000	100.317
2178.0000	100.305
2177.0000	100.306
2176.0000	100.284
2175.0000	100.315
2174.0000	100.223
2173.0000	100.284
2172.0000	100.215
2171.0000	100.299
2170.0000	100.324
2169.0000	100.411
2168.0000	100.391
2167.0000	100.331
2166.0000	100.346
2165.0000	100.334
2164.0000	100.316
2163.0000	100.278
2162.0000	100.283
2161.0000	100.343
2160.0000	100.248
2159.0000	100.236
2158.0000	100.248
2157.0000	100.269
2156.0000	100.275
2155.0000	100.281
2154.0000	100.3
2153.0000	100.319
2152.0000	100.319
2151.0000	100.3
2150.0000	100.339
2149.0000	100.331
2148.0000	100.346
2147.0000	100.279
2146.0000	100.306
2145.0000	100.315
2144.0000	100.251
2143.0000	100.223
2142.0000	100.271
2141.0000	100.287
2140.0000	100.27
2139.0000	100.289
2138.0000	100.26
2137.0000	100.294
2136.0000	100.248
2135.0000	100.338
2134.0000	100.328
2133.0000	100.326
2132.0000	100.35
2131.0000	100.421
2130.0000	100.507
2129.0000	100.441
2128.0000	100.411
2127.0000	100.451
2126.0000	100.417
2125.0000	100.396
2124.0000	100.4
2123.0000	100.438
2122.0000	100.356
2121.0000	100.367
2120.0000	100.329
2119.0000	100.326
2118.0000	100.269
2117.0000	100.23
2116.0000	100.277
2115.0000	100.294
2114.0000	100.283
2113.0000	100.223
2112.0000	100.322
2111.0000	100.262
2110.0000	100.247
2109.0000	100.232
2108.0000	100.281
2107.0000	100.385
2106.0000	100.354
2105.0000	100.329
2104.0000	100.338
2103.0000	100.522
2102.0000	100.405
2101.0000	100.36
2100.0000	100.367
2099.0000	100.431
2098.0000	100.415
2097.0000	100.361
2096.0000	100.336
2095.0000	100.349
2094.0000	100.365
2093.0000	100.336
2092.0000	100.36
2091.0000	100.348
2090.0000	100.276
2089.0000	100.288
2088.0000	100.28
2087.0000	100.331
2086.0000	100.348
2085.0000	100.29
2084.0000	100.304
2083.0000	100.288
2082.0000	100.342
2081.0000	100.294
2080.0000	100.302
2079.0000	100.296
2078.0000	100.272
2077.0000	100.277
2076.0000	100.259
2075.0000	100.265
2074.0000	100.251
2073.0000	100.297
2072.0000	100.312
2071.0000	100.304
2070.0000	100.254
2069.0000	100.241
2068.0000	100.215
2067.0000	100.193
2066.0000	100.163
2065.0000	100.212
2064.0000	100.334
2063.0000	100.339
2062.0000	100.339
2061.0000	100.324
2060.0000	100.282
2059.0000	100.265
2058.0000	100.156
2057.0000	100.186
2056.0000	100.282
2055.0000	100.264
2054.0000	100.279
2053.0000	100.306
2052.0000	100.335
2051.0000	100.293
2050.0000	100.329
2049.0000	100.323
2048.0000	100.357
2047.0000	100.317
2046.0000	100.311
2045.0000	100.323
2044.0000	100.316
2043.0000	100.292
2042.0000	100.333
2041.0000	100.329
2040.0000	100.399
2039.0000	100.417
2038.0000	100.37
2037.0000	100.386
2036.0000	100.383
2035.0000	100.395
2034.0000	100.381
2033.0000	100.332
2032.0000	100.381
2031.0000	100.377
2030.0000	100.36
2029.0000	100.386
2028.0000	100.407
2027.0000	100.336
2026.0000	100.365
2025.0000	100.33
2024.0000	100.338
2023.0000	100.309
2022.0000	100.323
2021.0000	100.365
2020.0000	100.333
2019.0000	100.308
2018.0000	100.314
2017.0000	100.377
2016.0000	100.332
2015.0000	100.406
2014.0000	100.391
2013.0000	100.415
2012.0000	100.413
2011.0000	100.361
2010.0000	100.37
2009.0000	100.347
2008.0000	100.338
2007.0000	100.332
2006.0000	100.322
2005.0000	100.362
2004.0000	100.365
2003.0000	100.328
2002.0000	100.29
2001.0000	100.252
2000.0000	100.252
1999.0000	100.256
1998.0000	100.287
1997.0000	100.228
1996.0000	100.242
1995.0000	100.28
1994.0000	100.315
1993.0000	100.307
1992.0000	100.301
1991.0000	100.34
1990.0000	100.32
1989.0000	100.336
1988.0000	100.325
1987.0000	100.329
1986.0000	100.3
1985.0000	100.351
1984.0000	100.374
1983.0000	100.366
1982.0000	100.39
1981.0000	100.397
1980.0000	100.407
1979.0000	100.38
1978.0000	100.351
1977.0000	100.383
1976.0000	100.371
1975.0000	100.388
1974.0000	100.341
1973.0000	100.344
1972.0000	100.296
1971.0000	100.23
1970.0000	100.179
1969.0000	100.234
1968.0000	100.229
1967.0000	100.255
1966.0000	100.291
1965.0000	100.334
1964.0000	100.373
1963.0000	100.32
1962.0000	100.319
1961.0000	100.294
1960.0000	100.283
1959.0000	100.267
1958.0000	100.324
1957.0000	100.349
1956.0000	100.346
1955.0000	100.341
1954.0000	100.388
1953.0000	100.397
1952.0000	100.355
1951.0000	100.32
1950.0000	100.269
1949.0000	100.23
1948.0000	100.211
1947.0000	100.249
1946.0000	100.25
1945.0000	100.324
1944.0000	100.354
1943.0000	100.379
1942.0000	100.423
1941.0000	100.383
1940.0000	100.436
1939.0000	100.349
1938.0000	100.365
1937.0000	100.315
1936.0000	100.343
1935.0000	100.377
1934.0000	100.356
1933.0000	100.388
1932.0000	100.342
1931.0000	100.359
1930.0000	100.343
1929.0000	100.405
1928.0000	100.356
1927.0000	100.33
1926.0000	100.387
1925.0000	100.386
1924.0000	100.461
1923.0000	100.413
1922.0000	100.403
1921.0000	100.423
1920.0000	100.423
1919.0000	100.404
1918.0000	100.339
1917.0000	100.4
1916.0000	100.392
1915.0000	100.346
1914.0000	100.372
1913.0000	100.242
1912.0000	100.248
1911.0000	100.215
1910.0000	100.191
1909.0000	100.207
1908.0000	100.298
1907.0000	100.323
1906.0000	100.352
1905.0000	100.367
1904.0000	100.473
1903.0000	100.469
1902.0000	100.368
1901.0000	100.405
1900.0000	100.34
1899.0000	100.322
1898.0000	100.247
1897.0000	100.27
1896.0000	100.241
1895.0000	100.195
1894.0000	100.181
1893.0000	100.175
1892.0000	100.262
1891.0000	100.305
1890.0000	100.35
1889.0000	100.324
1888.0000	100.348
1887.0000	100.332
1886.0000	100.341
1885.0000	100.273
1884.0000	100.279
1883.0000	100.261
1882.0000	100.265
1881.0000	100.256
1880.0000	100.286
1879.0000	100.319
1878.0000	100.336
1877.0000	100.308
1876.0000	100.344
1875.0000	100.343
1874.0000	100.304
1873.0000	100.222
1872.0000	100.206
1871.0000	100.255
1870.0000	100.222
1869.0000	100.271
1868.0000	100.271
1867.0000	100.274
1866.0000	100.275
1865.0000	100.235
1864.0000	100.18
1863.0000	100.169
1862.0000	100.172
1861.0000	100.207
1860.0000	100.268
1859.0000	100.22
1858.0000	100.252
1857.0000	100.282
1856.0000	100.31
1855.0000	100.317
1854.0000	100.295
1853.0000	100.299
1852.0000	100.302
1851.0000	100.342
1850.0000	100.271
1849.0000	100.255
1848.0000	100.27
1847.0000	100.287
1846.0000	100.323
1845.0000	100.273
1844.0000	100.267
1843.0000	100.257
1842.0000	100.283
1841.0000	100.291
1840.0000	100.271
1839.0000	100.232
1838.0000	100.288
1837.0000	100.255
1836.0000	100.232
1835.0000	100.182
1834.0000	100.247
1833.0000	100.227
1832.0000	100.3
1831.0000	100.304
1830.0000	100.327
1829.0000	100.402
1828.0000	100.376
1827.0000	100.35
1826.0000	100.309
1825.0000	100.299
1824.0000	100.287
1823.0000	100.276
1822.0000	100.22
1821.0000	100.216
1820.0000	100.281
1819.0000	100.262
1818.0000	100.286
1817.0000	100.288
1816.0000	100.314
1815.0000	100.301
1814.0000	100.296
1813.0000	100.316
1812.0000	100.336
1811.0000	100.299
1810.0000	100.274
1809.0000	100.285
1808.0000	100.275
1807.0000	100.305
1806.0000	100.286
1805.0000	100.318
1804.0000	100.304
1803.0000	100.345
1802.0000	100.322
1801.0000	100.284
1800.0000	100.311
1799.0000	100.241
1798.0000	100.27
1797.0000	100.247
1796.0000	100.282
1795.0000	100.293
1794.0000	100.309
1793.0000	100.334
1792.0000	100.33
1791.0000	100.301
1790.0000	100.274
1789.0000	100.217
1788.0000	100.213
1787.0000	100.256
1786.0000	100.285
1785.0000	100.324
1784.0000	100.32
1783.0000	100.296
1782.0000	100.324
1781.0000	100.306
1780.0000	100.265
1779.0000	100.254
1778.0000	100.313
1777.0000	100.35
1776.0000	100.386
1775.0000	100.374
1774.0000	100.364
1773.0000	100.364
1772.0000	100.364
1771.0000	100.349
1770.0000	100.314
1769.0000	100.308
1768.0000	100.298
1767.0000	100.289
1766.0000	100.274
1765.0000	100.264
1764.0000	100.282
1763.0000	100.289
1762.0000	100.323
1761.0000	100.299
1760.0000	100.337
1759.0000	100.323
1758.0000	100.331
1757.0000	100.321
1756.0000	100.305
1755.0000	100.337
1754.0000	100.315
1753.0000	100.306
1752.0000	100.337
1751.0000	100.332
1750.0000	100.329
1749.0000	100.353
