TITLE	n-GaN
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	19/12/06
TIME	15:18:42
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	 2500.0000
LASTX	  350.0000
NPOINTS	    4301
FIRSTY	    85.58065
MAXY	    87.85333
MINY	     0.04718
XYDATA
2444.5000	76.6901
2444.0000	72.8232
2443.5000	69.9986
2443.0000	70.0707
2442.5000	72.6424
2442.0000	76.3511
2441.5000	78.4324
2441.0000	78.4954
2440.5000	75.0174
2440.0000	71.5852
2439.5000	69.2784
2439.0000	69.7409
2438.5000	73.179
2438.0000	76.8604
2437.5000	78.6016
2437.0000	77.0852
2436.5000	73.5949
2436.0000	69.9392
2435.5000	69.1026
2435.0000	70.5799
2434.5000	73.9076
2434.0000	77.0988
2433.5000	77.8247
2433.0000	76.2526
2432.5000	72.4467
2432.0000	69.3584
2431.5000	68.6315
2431.0000	71.3446
2430.5000	75.0576
2430.0000	77.7001
2429.5000	77.5378
2429.0000	74.5652
2428.5000	70.6905
2428.0000	68.3225
2427.5000	68.9796
2427.0000	72.3776
2426.5000	75.7596
2426.0000	77.5241
2425.5000	76.4187
2425.0000	73.1608
2424.5000	69.3863
2424.0000	68.2918
2423.5000	69.954
2423.0000	73.8595
2422.5000	76.9988
2422.0000	77.4427
2421.5000	75.2218
2421.0000	71.3096
2420.5000	68.3704
2420.0000	68.1791
2419.5000	71.1155
2419.0000	74.611
2418.5000	76.9153
2418.0000	76.2476
2417.5000	73.7125
2417.0000	69.7078
2416.5000	67.9322
2416.0000	68.8635
2415.5000	72.6879
2415.0000	75.8995
2414.5000	77.1884
2414.0000	75.14
2413.5000	71.4379
2413.0000	68.5826
2412.5000	67.7174
2412.0000	70.2126
2411.5000	73.9003
2411.0000	76.4936
2410.5000	76.445
2410.0000	73.8839
2409.5000	70.2038
2409.0000	67.9267
2408.5000	68.2948
2408.0000	71.3375
2407.5000	75.1504
2407.0000	77.048
